Date,Close,High,Low,Open,Volume
9/16/1986,1.763114214,1.779289326,1.722675694,1.763114214,6180000
9/17/1986,1.714588404,1.763114487,1.714588404,1.75502656,5400000
9/18/1986,1.706499457,1.738850407,1.657973403,1.698411905,4183200
9/19/1986,1.657973528,1.698412033,1.585184441,1.674149004,7620000
9/22/1986,1.706499457,1.706499457,1.633710376,1.674148878,6540000
9/23/1986,1.771201849,1.779289405,1.730763327,1.74693881,4222200
9/24/1986,1.84399116,1.868254202,1.771202036,1.827815676,6600000
9/25/1986,1.763114214,1.827815402,1.746938732,1.827815402,4725600
9/26/1986,1.730762243,1.77120074,1.690324117,1.746937716,3831000
9/29/1986,1.666061401,1.706499535,1.649885926,1.706499535,4524000
9/30/1986,1.714588404,1.738851445,1.657974393,1.66606232,7680000
10/1/1986,1.706499457,1.779288539,1.706499457,1.730762485,4098600
10/2/1986,1.722675204,1.746938235,1.706499727,1.714587651,2155200
10/3/1986,1.698412776,1.746938855,1.698412776,1.746938855,3601800
10/6/1986,1.690324545,1.755025711,1.674149068,1.698412098,7620000
10/7/1986,1.68223691,1.690324835,1.657973876,1.68223691,4221600
10/8/1986,1.674150229,1.674150229,1.641799623,1.674150229,6240000
10/9/1986,1.68223691,1.722675423,1.649886321,1.706499944,11160000
10/10/1986,1.722675204,1.738850682,1.698412173,1.706499727,4487400
10/13/1986,1.722675204,1.730762758,1.682236696,1.730762758,2124000
10/14/1986,1.763114214,1.779289326,1.714588138,1.714588138,5742600
10/15/1986,1.787376165,1.795463716,1.730762198,1.763113142,5529600
10/16/1986,1.81163919,1.81163919,1.746937671,1.787376167,6900000
10/17/1986,1.787376165,1.811639189,1.771200693,1.811639189,3766800
10/20/1986,1.771201849,1.771201849,1.730763327,1.755026366,2445600
10/21/1986,1.746938944,1.771201985,1.73076346,1.763114428,2962800
10/22/1986,1.763114214,1.77120177,1.738851176,1.755026288,4440000
10/23/1986,1.803551078,1.819726548,1.730762016,1.771200507,9840000
10/24/1986,1.755025983,1.827815084,1.755025983,1.827815084,2767200
10/27/1986,1.81163919,1.81163919,1.755025222,1.763113143,1940400
10/28/1986,1.81163919,1.835902213,1.803551269,1.819726741,2935200
10/29/1986,1.835902452,1.868253031,1.811639426,1.82781453,3141600
10/30/1986,1.835902452,1.884428505,1.82781453,1.876340583,6660000
10/31/1986,1.77928865,1.83590263,1.763113544,1.83590263,4074000
11/3/1986,1.787376165,1.787376165,1.617535003,1.779288244,1918800
11/4/1986,1.763114214,1.81164029,1.755026288,1.787377252,4131000
11/5/1986,1.795464396,1.795464396,1.755025886,1.76311381,5310600
11/6/1986,1.860166073,1.868253627,1.80355208,1.80355208,5851800
11/7/1986,1.819727659,1.85207825,1.819727659,1.843990695,1936800
11/10/1986,1.827815056,1.827815056,1.779288989,1.819727501,3654600
11/11/1986,1.835902452,1.843990005,1.795463952,1.835902452,4032600
11/12/1986,1.876341105,1.892516583,1.843990517,1.892516583,6360000
11/13/1986,1.787376165,1.908691281,1.787376165,1.876340337,1796400
11/14/1986,1.81163919,1.835902213,1.746937671,1.787376167,2547600
11/17/1986,1.787376165,1.811639189,1.771200693,1.787376165,4654800
11/18/1986,1.730762243,1.787376212,1.714587141,1.722674692,6300000
11/19/1986,1.746938944,1.763114428,1.714588346,1.714588346,3967200
11/20/1986,1.795464396,1.827814983,1.746938332,1.771201364,4786800
11/21/1986,1.81163919,1.827814292,1.795463718,1.81163919,5346600
11/24/1986,1.827815056,1.852078089,1.787376914,1.811639947,4161600
11/25/1986,1.795464396,1.835902907,1.730762853,1.835902907,4212000
11/26/1986,1.81163919,1.852077315,1.763113143,1.81163919,4848600
11/28/1986,1.787376165,1.795463716,1.763113142,1.795463716,2619600
12/1/1986,1.763114214,1.763114214,1.73076325,1.755026288,3014400
12/2/1986,1.84399116,1.84399116,1.755026551,1.771202036,5826000
12/3/1986,1.795464396,1.843990461,1.779288918,1.843990461,5386200
12/4/1986,1.81163919,1.835902213,1.787376167,1.81163919,6960000
12/5/1986,1.763114214,1.827815402,1.746938732,1.81164029,5204400
12/8/1986,1.797933221,1.797933221,1.724714226,1.797933221,3599400
12/9/1986,1.773527741,1.806069408,1.765392045,1.789798389,1834800
12/10/1986,1.781663179,1.806069524,1.757256834,1.765392159,2586000
12/11/1986,1.740984797,1.781662139,1.740984797,1.77352682,3208800
12/12/1986,1.740984797,1.749120489,1.724714159,1.740984797,2707800
12/15/1986,1.724715233,1.749121579,1.708444211,1.724715233,3511200
12/16/1986,1.732849717,1.749120731,1.708443383,1.716578704,3988800
12/17/1986,1.732849717,1.773527065,1.724714397,1.740985038,5362200
12/18/1986,1.708444118,1.732850463,1.692173098,1.716579443,3924000
12/19/1986,1.773527741,1.789798389,1.716579359,1.724715055,6720000
12/22/1986,1.732849717,1.749120731,1.708443383,1.724714397,4306800
12/23/1986,1.692172885,1.740985568,1.684037562,1.740985568,6420000
12/24/1986,1.684038043,1.708444391,1.675902718,1.675902718,2830800
12/26/1986,1.708444118,1.708444118,1.684037774,1.692173098,877800
12/29/1986,1.700308323,1.716578966,1.684037307,1.708443645,3649200
12/30/1986,1.692172885,1.708443903,1.675902239,1.70030858,3719400
12/31/1986,1.692172885,1.740985568,1.667766543,1.692172885,3431400
1/2/1987,1.708444118,1.724715139,1.692173098,1.708444118,2317200
1/5/1987,1.749121666,1.757256991,1.700308972,1.708444297,7740000
1/6/1987,1.765391588,1.789797925,1.749120945,1.757256267,5838000
1/7/1987,1.773527741,1.773527741,1.740985702,1.765392045,7320000
1/8/1987,1.781663179,1.7979342,1.724715165,1.781663179,4190400
1/9/1987,1.781663179,1.789798504,1.757256834,1.789798504,5360400
1/12/1987,1.814203382,1.830474389,1.765390731,1.781661739,4420200
1/13/1987,1.838610888,1.838610888,1.806069224,1.822340242,6000000
1/14/1987,1.895559788,1.903695113,1.83047607,1.846747093,8460000
1/15/1987,1.960642338,2.001319691,1.936236,1.952507016,19140000
1/16/1987,1.960642338,2.001319691,1.960642338,1.968778032,10920000
1/19/1987,2.041996241,2.050131559,1.960641565,1.968777256,8520000
1/20/1987,1.993184209,2.04199688,1.985048515,2.04199688,8760000
1/21/1987,2.017591238,2.050132906,1.960642853,1.976913874,7800000
1/22/1987,2.066403866,2.090810209,2.025726503,2.033861826,12720000
1/23/1987,2.017591238,2.139622959,1.919965862,2.107080918,13440000
1/26/1987,2.033861637,2.082674319,2.017590991,2.033861637,3530400
1/27/1987,2.082673788,2.090809481,2.025725797,2.066403146,6600000
